@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric

@data
3780,'2017/06/28 12:13:47:113',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3781,'2017/06/28 12:13:47:128',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3782,'2017/06/28 12:13:47:145',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3783,'2017/06/28 12:13:47:164',65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3784,'2017/06/28 12:13:53:628',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3785,'2017/06/28 12:13:53:645',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3786,'2017/06/28 12:13:53:661',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3787,'2017/06/28 12:13:53:678',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3788,'2017/06/28 12:13:53:697',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3789,'2017/06/28 12:13:53:711',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3790,'2017/06/28 12:13:53:729',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3791,'2017/06/28 12:13:53:744',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3792,'2017/06/28 12:13:53:762',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3793,'2017/06/28 12:13:53:780',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3794,'2017/06/28 12:13:53:797',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3795,'2017/06/28 12:13:53:814',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3796,'2017/06/28 12:13:53:829',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3797,'2017/06/28 12:13:53:847',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3798,'2017/06/28 12:13:53:863',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3799,'2017/06/28 12:13:53:878',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3800,'2017/06/28 12:13:53:897',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3801,'2017/06/28 12:13:53:915',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3802,'2017/06/28 12:13:53:929',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3803,'2017/06/28 12:13:53:945',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3804,'2017/06/28 12:13:53:961',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3805,'2017/06/28 12:13:53:979',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3806,'2017/06/28 12:13:53:997',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3807,'2017/06/28 12:13:54:011',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3808,'2017/06/28 12:13:54:028',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3809,'2017/06/28 12:13:54:046',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
